userId,bookId,rating
3242,657,1
3242,1390,1
3242,2987,4
3242,3291,4
3242,3771,1
3242,5838,3
3242,6510,5
3242,11554,2
3317,4583,5
3317,5086,4
3317,6183,2
3317,7101,4
3318,728,3
3318,783,5
3318,794,3
3318,4024,1
3318,5086,5
3318,6064,2
3318,6231,1
3318,6795,3
3319,3812,1
3319,3841,3
3320,1203,5
3320,1493,4
3320,3205,5
3320,4141,5
3320,4154,2
3320,4250,5
3320,4752,4
3320,5462,1
3320,6263,5
3320,6466,3
3320,6673,5
3321,1940,2
3321,4411,5
3323,1339,5
3323,3032,2
3323,6587,3
3323,7152,2
3324,348,5
3324,1309,1
3324,1467,5
3324,3220,1
3324,3678,5
3324,4090,3
3324,4102,4
3324,4884,3
3324,4921,5
3324,5181,1
3324,7197,2
3325,1916,5
3325,3032,4
3325,3542,1
3325,4483,3
3325,6167,2
3325,6315,5
3325,6820,2
3325,6920,1
3326,728,1
3327,6167,3
3327,6959,3
3327,12057,5
3329,4925,4
3329,6705,4
3329,7093,4
3330,6689,5
3330,6690,5
3330,12009,5
3331,728,4
3331,749,1
3331,783,5
3331,794,2
3331,3771,4
3331,4090,3
3331,4967,2
3331,5252,2
3331,5951,4
3331,6050,5
3331,6167,4
3331,6629,4
3331,6790,1
3331,6844,1
3331,12113,5
3333,3221,3
3333,4367,3
3333,4550,3
3333,6312,3
3333,6510,4
3334,1101,1
3334,3186,4
3334,4995,2
3334,8134,3
3244,208,5
3244,392,1
3244,1306,2
3244,2129,4
3244,3277,3
3244,3951,3
3244,5112,3
3244,5377,4
3244,6451,4
3336,4706,4
3336,6159,5
3337,1878,2
3337,1925,3
3337,1949,2
3337,3185,1
3337,4995,5
3337,6010,2
3337,6183,3
3338,9,3
3338,12,3
3338,1310,2
3338,3026,5
3338,4485,3
3338,4540,1
3338,4967,2
3338,5086,1
3338,5613,2
3338,6327,2
3338,6641,3
3338,6649,3
3338,6687,2
3338,6782,3
3338,6785,3
3338,6790,3
3338,7237,5
3341,809,2
3341,3570,1
3341,6330,5
3341,6686,1
3341,6694,5
3342,1942,2
3342,6453,4
3342,6625,2
3245,348,4
3245,731,3
3245,1377,4
3245,1403,4
3245,1868,3
3245,1916,2
3245,1972,4
3245,2974,3
3245,3984,4
3245,4321,4
3245,4498,5
3245,5997,1
3245,6131,5
3245,6167,1
3245,6844,3
3245,7091,1
3462,7072,1
3464,2604,2
3464,4059,2
3464,5442,4
3464,5443,3
3464,6012,2
3464,7003,1
3464,11217,1
3464,11218,3
3465,6018,3
3465,6523,3
3465,7067,5
3465,7075,2
3343,1184,5
3343,3033,3
3343,3570,3
3343,3771,4
3343,3861,1
3343,5481,2
3343,6348,1
3343,6432,4
3345,3690,4
3345,4389,1
3345,4568,5
3345,11961,2
3346,1677,2
3346,6386,3
3347,142,4
3347,2256,2
3347,2502,2
3347,6216,2
3348,2256,1
3348,5528,1
3348,6441,3
3348,6924,3
3349,1933,4
3349,2401,1
3349,3690,3
3349,3763,5
3349,5538,4
3349,11010,1
3350,783,4
3350,1917,2
3350,2863,3
3350,3345,4
3350,3927,3
3350,4158,4
3350,4513,3
3350,4794,1
3350,5744,3
3350,6129,4
3350,6176,3
3350,6705,5
3350,6718,1
3350,6719,1
3350,6721,5
3350,7093,5
3350,7178,2
3350,7183,2
3350,7219,2
3350,8580,5
3350,11821,2
3351,2179,3
3351,4792,2
3353,348,4
3353,1971,5
3353,4186,5
3353,4729,1
3353,4921,3
3353,5893,1
3353,6167,3
3353,6228,2
3353,6232,3
3353,6314,5
3353,6484,3
3353,6844,4
3353,7115,1
3353,7143,3
3353,11554,2
3354,6768,4
3354,7039,2
3354,7066,4
3354,7075,2
3355,657,5
3355,728,1
3355,800,3
3355,3470,5
3355,4755,2
3355,5913,5
3355,6850,2
3355,6864,3
3355,7155,3
3356,124,2
3356,3026,4
3356,3185,4
3356,3642,5
3356,4186,3
3356,4394,5
3356,4407,5
3356,4410,3
3356,4485,2
3356,4541,4
3356,6017,1
3356,6785,1
3356,6866,3
3356,7235,5
3356,7237,3
3357,1589,2
3357,1728,4
3357,1984,4
3357,2721,5
3357,2977,3
3357,3656,1
3357,3914,2
3357,4942,5
3357,5913,3
3357,6629,3
3357,6664,5
3357,7243,5
3357,8582,1
3357,10549,1
3357,11875,3
3357,11908,1
3358,347,4
3358,728,2
3358,2957,5
3358,3221,3
3358,4140,1
3358,4559,1
3358,4755,3
3358,4986,5
3358,6785,4
3358,6864,4
3358,6866,2
3358,7116,2
3358,11986,1
3359,1312,1
3359,1390,4
3359,1868,1
3359,1897,4
3359,1971,2
3359,2523,5
3359,2909,3
3359,3326,1
3359,4729,2
3359,4772,4
3359,6327,2
3359,6840,4
3359,7153,4
3359,7171,3
3359,12134,5
3247,1677,5
3247,2977,3
3247,3582,3
3247,3940,5
3247,5866,2
3247,7681,5
3247,8476,3
3247,8582,4
3247,8794,1
3247,9709,4
3360,1203,5
3360,1493,2
3360,6475,5
3361,1083,4
3361,1138,5
3361,3690,5
3361,5498,2
3361,5908,2
3361,5909,3
3361,6431,1
3361,7242,4
3361,7252,1
3361,7253,5
3362,5910,5
3362,5911,1
3363,7154,1
3363,7199,5
3366,198,1
3366,208,4
3366,293,5
3366,1123,1
3366,1855,1
3366,3277,4
3366,3352,5
3366,3951,5
3366,4918,4
3366,5654,5
3366,6174,4
3366,6191,2
3366,6244,1
3366,7055,2
3367,216,4
3367,2645,5
3367,2646,4
3367,2647,5
3367,2648,5
3248,6383,1
3369,348,3
3369,2957,4
3369,4186,3
3369,11741,3
3370,2955,1
3370,3455,5
3370,3470,4
3370,3772,4
3370,4234,1
3370,5202,5
3370,6578,4
3371,4905,4
3373,348,4
3373,4921,5
3374,6778,1
3375,2813,2
3375,3185,4
3375,4394,3
3375,4407,5
3375,5760,1
3376,657,4
3376,1924,2
3376,2955,4
3376,3470,1
3376,3772,5
3376,4900,5
3376,4967,4
3376,6146,1
3376,6931,4
3377,247,3
3377,1897,4
3377,3012,1
3377,3581,3
3377,4013,4
3377,4132,5
3377,4186,4
3377,4407,4
3377,4802,4
3377,4824,3
3377,5916,3
3377,5971,3
3377,6840,1
3249,3297,4
3249,6801,3
3378,6348,3
3379,142,2
3380,293,2
3380,513,2
3380,728,4
3380,1862,2
3380,4053,4
3380,4055,4
3380,5901,5
3380,6174,5
3380,6692,5
3381,767,4
3381,769,3
3381,1682,3
3381,3386,4
3381,3570,5
3381,4095,2
3381,4939,5
3381,4940,1
3381,5205,5
3381,5635,5
3381,5810,5
3381,6330,4
3381,6825,3
3381,6943,4
3381,6987,2
3381,12087,2
3383,1205,3
3384,6253,2
3384,7043,2
3384,7060,3
3384,7066,4
3384,7069,3
3384,11952,1
3385,4341,4
3385,4367,2
3385,4796,2
3385,5613,1
3385,7181,3
3250,142,1
3250,1101,3
3250,2796,5
3250,3291,2
3250,4004,3
3250,4130,3
3250,6244,2
3250,7116,5
3250,7237,2
3388,155,1
3388,1382,4
3388,4389,4
3388,4899,5
3388,4939,2
3388,7037,3
3389,6343,5
3390,749,2
3390,4066,5
3390,4922,3
3391,657,5
3391,1924,2
3391,3345,3
3391,4755,3
3391,5923,1
3391,6864,4
3392,392,2
3392,794,3
3392,1196,3
3392,1815,4
3392,2909,4
3392,4919,4
3392,4921,2
3392,5613,5
3251,728,1
3251,1101,3
3251,3191,1
3251,3291,4
3251,4172,1
3251,5173,4
3251,6378,2
3251,6598,5
3394,5900,1
3394,6071,1
3394,6429,3
3395,5901,3
3396,28,3
3396,749,5
3396,909,1
3396,6174,1
3398,3358,3
3398,6352,5
3399,1878,3
3399,1949,2
3399,2663,1
3399,3185,3
3399,4967,5
3399,5086,1
3400,1390,3
3400,3012,5
3400,4013,3
3400,4562,2
3400,6437,3
3400,6840,4
3252,783,1
3252,1949,2
3252,2663,1
3252,3001,5
3252,3925,2
3252,4407,1
3252,5250,3
3252,5937,3
3252,6167,5
3252,6312,3
3252,6840,4
3252,7219,3
3401,216,4
3401,2767,5
3401,3766,1
3401,3871,4
3401,6445,4
3401,6824,5
3401,11961,5
3401,12055,3
3402,728,1
3402,3690,1
3402,5047,2
3402,5071,3
3402,5498,1
3402,6354,3
3402,6355,5
3402,6794,2
3402,6802,4
3402,6803,5
3407,6437,5
3408,347,2
3408,1203,2
3408,1493,1
3408,3346,3
3408,4078,3
3408,4967,1
3408,6475,5
3409,1390,2
3409,1817,3
3409,2955,1
3409,4110,2
3409,4174,3
3409,4207,4
3409,4407,3
3409,5194,3
3409,6437,4
3409,6541,2
3253,6403,3
3412,392,1
3412,3639,2
3412,5047,5
3412,6451,1
3412,6823,2
3412,11490,4
3413,5516,3
3413,11950,2
3414,1677,4
3414,2977,3
3415,4974,1
3416,2796,1
3416,3451,5
3416,3470,2
3417,7041,3
3254,657,2
3254,2987,5
3254,4408,5
3418,2796,4
3418,7116,5
3419,7146,1
3420,728,3
3420,4921,1
3420,5449,2
3420,6354,5
3420,6355,5
3420,6625,3
3421,657,3
3421,6183,4
3422,119,3
3422,1101,5
3422,1118,3
3422,1822,4
3422,2822,5
3422,3291,1
3422,4013,5
3422,5919,2
3422,6473,1
3422,6723,4
3423,6492,5
3424,111,1
3424,1390,3
3424,1677,3
3424,2977,3
3424,3940,5
3424,6916,2
3424,7215,5
3424,7216,5
3424,7293,5
3424,8716,3
3424,9467,3
3424,9979,4
3255,208,3
3255,348,3
3255,1855,4
3255,3951,1
3255,4541,2
3255,4939,1
3255,4944,5
3255,5686,4
3255,6846,1
3255,6861,3
3255,7044,3
3425,6471,4
3426,6818,3
3426,7052,4
3426,7199,2
3427,1878,1
3427,2725,5
3427,4051,4
3427,4110,4
3427,6131,3
3427,6167,2
3427,6183,4
3427,6231,1
3427,7233,2
3428,5990,5
3256,293,1
3256,2158,5
3256,2796,4
3256,2957,3
3256,3451,3
3256,4140,2
3256,5135,2
3256,5613,4
3256,6174,1
3256,6510,5
3256,6686,2
3256,6694,4
3256,6864,2
3256,6869,4
3430,28,5
3430,3220,2
3430,12040,4
3431,4568,3
3432,728,3
3432,1083,5
3432,1184,1
3432,5547,2
3432,6342,2
3432,7252,3
3432,7253,4
3433,1677,1
3433,2712,2
3433,2977,2
3433,9979,2
3434,348,5
3436,1390,4
3437,701,1
3437,1123,1
3437,3032,2
3437,3277,2
3437,5635,3
3437,6520,1
3438,657,3
3438,2987,1
3438,3032,1
3438,3678,1
3438,4329,2
3438,5872,4
3439,2192,1
3439,6962,4
3440,1196,3
3440,2909,3
3440,2974,4
3440,3984,4
3440,4013,3
3440,6733,4
3440,7091,2
3257,1083,4
3257,1310,1
3257,2977,3
3257,3122,2
3257,3739,4
3257,4396,3
3257,4498,4
3257,4589,3
3257,8340,5
3257,8728,3
3441,3974,2
3441,4055,5
3441,4776,3
3441,5838,4
3441,6823,3
3441,6931,3
3442,28,1
3442,205,5
3442,1461,3
3442,1610,2
3442,1677,2
3442,3032,5
3442,4087,5
3442,4349,3
3442,4940,2
3443,728,1
3443,1868,5
3443,2393,1
3443,2974,1
3443,3451,4
3443,6153,4
3443,7085,1
3443,7116,3
3444,2867,3
3444,3951,3
3444,6625,2
3258,4485,5
3258,5057,1
3445,6413,4
3446,293,5
3446,348,1
3446,392,4
3446,3220,3
3446,3678,1
3446,4643,5
3446,5135,4
3446,5760,2
3446,6437,3
3446,6864,2
3446,11741,1
3448,657,1
3448,1924,2
3448,3345,4
3448,3470,5
3448,3771,2
3448,4408,4
3448,5464,1
3448,5838,3
3448,6686,2
3448,6694,3
3448,6742,4
3448,6864,4
3448,9577,2
3448,11920,2
3449,6302,3
3450,3771,4
3450,5838,4
3450,7065,2
3450,7067,5
3259,354,2
3451,7064,2
3454,1677,1
3454,1984,5
3454,2977,1
3454,4349,4
3454,5866,3
3455,142,3
3455,4967,2
3455,5086,4
3456,119,2
3457,769,2
3457,3352,1
3235,1103,5
3235,6790,5
3260,2796,4
3260,3276,1
3260,3974,2
3260,6515,3
3260,6680,2
3260,7237,2
3458,657,2
3458,728,2
3458,984,2
3458,1441,3
3458,1924,2
3458,3276,5
3458,3345,2
3458,3661,4
3458,3772,4
3458,4172,5
3458,4562,1
3458,5838,2
3458,6692,1
3458,7090,5
3459,2838,1
3459,3809,1
3459,3962,1
3261,1203,4
3261,1390,4
3261,1493,5
3261,2725,4
3261,2974,5
3261,3326,3
3261,3542,3
3261,4498,5
3261,5594,1
3261,6733,5
3460,728,1
3460,5538,2
3460,7073,2
3262,293,2
3262,657,2
3262,1123,2
3262,1319,5
3262,1677,1
3262,3099,2
3262,3220,1
3262,3926,3
3262,4255,4
3262,4408,1
3262,4437,1
3262,4719,4
3262,5051,4
3262,5414,1
3262,6588,4
3262,6661,4
3262,6692,2
3262,6898,2
3262,7160,1
3262,7247,4
3264,1184,1
3264,3874,2
3264,9765,1
3266,156,1
3266,348,2
3266,1251,3
3266,1462,5
3266,1497,2
3266,3198,2
3266,3345,5
3266,6130,2
3266,6327,1
3266,6534,2
3266,7194,1
3266,10978,5
3266,11273,3
3267,1441,4
3267,1916,4
3267,1961,2
3267,3470,3
3267,4234,1
3267,4550,3
3267,4781,3
3267,4782,4
3267,4794,3
3267,4879,1
3267,4946,4
3267,5131,2
3267,5464,1
3267,5787,5
3267,5831,5
3267,5975,1
3267,6167,3
3267,6314,1
3267,6473,3
3267,6575,4
3267,7233,2
3267,11381,2
3268,657,1
3268,800,3
3268,984,3
3268,1924,5
3268,3343,5
3268,3345,3
3268,4535,5
3268,5397,2
3268,6842,2
3268,12073,2
3268,12123,4
3236,809,5
3236,2935,5
3236,2977,3
3236,3570,3
3236,5088,1
3236,5481,2
3236,6271,5
3269,3926,5
3269,4560,2
3269,5567,1
3269,5635,3
3269,6625,2
3269,7057,1
3269,7077,3
3269,11331,3
3270,383,2
3270,6371,4
3270,6625,5
3270,6896,2
3270,6988,3
3270,12124,3
3271,1101,4
3271,1123,1
3271,1841,4
3271,1972,4
3271,3291,3
3271,3345,3
3271,4172,5
3271,5209,5
3272,1468,5
3272,1471,3
3272,1472,5
3272,1473,2
3272,1476,5
3272,11461,4
3273,5884,1
3274,1203,2
3274,2869,1
3274,3628,5
3274,6466,5
3274,6781,2
3276,6625,3
3237,687,4
3237,706,2
3237,3291,1
3237,4073,5
3237,4167,1
3237,4207,5
3237,4533,3
3237,4568,2
3237,4753,5
3237,6302,1
3237,8662,5
3278,984,3
3278,1309,5
3278,3003,5
3278,3345,3
3278,4013,1
3278,5923,4
3278,5971,5
3279,4604,4
3279,6348,2
3279,6386,3
3279,6387,2
3279,7099,2
3280,1103,4
3280,2094,5
3280,2909,5
3280,2974,1
3280,3581,2
3280,3693,1
3280,4321,5
3280,4717,4
3280,4792,2
3280,4981,2
3280,6137,3
3280,6378,2
3280,6602,3
3280,6643,5
3280,6744,3
3280,6746,1
3280,7194,3
3280,7195,1
3281,347,5
3281,348,3
3281,1815,2
3281,2158,5
3281,2796,2
3281,2957,3
3281,2998,4
3281,5449,1
3281,6510,4
3281,7116,5
3281,7235,5
3281,7236,2
3281,7238,4
3282,680,3
3282,769,4
3282,1924,5
3282,3220,5
3282,3771,4
3282,5810,1
3282,6931,4
3283,392,3
3283,3345,3
3284,111,3
3284,119,3
3284,347,3
3284,348,4
3284,1118,4
3284,1390,4
3284,2158,4
3284,2725,4
3284,2957,5
3284,3060,2
3284,4110,3
3284,4140,2
3284,4186,4
3284,4407,3
3284,4508,1
3284,4727,2
3284,4921,5
3284,6030,1
3284,6541,3
3284,6949,1
3238,649,4
3238,1310,5
3238,2130,3
3238,5901,4
3238,6167,5
3285,154,4
3285,155,3
3285,984,2
3285,1392,4
3285,2796,3
3285,4151,2
3285,4963,5
3285,5292,5
3285,6625,1
3285,6812,2
3285,6864,2
3286,7436,1
3288,1477,4
3288,1773,1
3288,1956,2
3288,2226,5
3289,3925,3
3289,5222,4
3289,6237,1
3289,6576,4
3290,293,2
3290,3470,3
3290,4234,1
3290,5464,5
3290,6174,5
3290,6499,4
3290,11579,4
3290,11710,3
3290,12112,1
3291,15,3
3291,155,1
3291,767,2
3291,809,5
3291,3570,4
3291,5897,5
3291,6330,1
3291,6498,5
3291,6943,2
3291,7027,2
3291,7028,4
3291,10242,3
3292,250,2
3292,3542,4
3292,4190,3
3292,5574,3
3292,11710,3
3293,3840,5
3293,3931,5
3293,3991,5
3293,4221,2
3293,5249,3
3293,5279,4
3293,6348,4
3239,728,5
3239,2888,1
3239,2889,4
3239,4717,1
3239,4792,1
3239,7076,5
3295,1862,5
3295,3771,4
3295,3974,5
3295,4086,2
3295,4919,2
3295,5254,2
3297,111,2
3297,1578,2
3297,6378,2
3298,1390,3
3298,3772,3
3298,4073,5
3298,4755,2
3298,5202,3
3298,6850,1
3298,11680,4
3300,2977,3
3301,2997,4
3301,3726,2
3301,5230,1
3301,6646,5
