3234,5607,3510,1001,11093,7005,5652,53,5200,5109,548
3242,2159,5749,5728,4491,6975,67,5380,2847,6890,5797
3317,6058,6640,8914,11881,2758,6738,3448,4946,10984,1531
3318,9693,9408,5906,3407,10548,1740,9034,2637,8133,11029
3319,4731,11534,11983,9146,9457,10315,569,2732,9844,7700
3320,6863,10810,5987,9732,9379,6786,4035,9363,10108,3628
3321,9698,9574,8966,5640,9899,6009,7660,1746,10370,11355
3322,10369,4770,12115,7522,6338,3163,4576,6630,3025,11285
3323,4609,11759,9624,873,11164,8713,11735,5138,1349,504
3324,8537,10449,8377,6556,10104,3522,12023,11825,5699,6994
3325,7204,10977,173,5455,9135,1010,5604,11532,10318,11919
3243,2381,4339,10576,9738,4982,1824,6820,2904,10045,9909
3326,4008,11,4141,521,10976,1251,6168,4376,11611,3676
3327,1245,8455,3184,11646,10925,11777,11641,1830,1538,8669
3328,854,3144,3455,1995,9580,8438,8630,10915,11853,10625
3329,11196,11758,120,11565,2278,1832,56,1168,817,8440
3330,4037,11906,11512,8830,9647,4040,10374,6093,388,230
3331,3245,10540,4022,11953,378,7829,4952,3165,2479,3575
3332,5930,8046,5597,10672,5910,10252,3530,10956,1191,316
3333,467,1376,885,7095,6685,2131,2735,6585,3839,10825
3334,2405,6047,1099,10954,4211,7356,144,2076,1976,3413
3335,953,3875,12032,5773,380,1769,3262,4224,3061,6633
3244,10990,6804,8426,6797,9262,8820,6937,10237,7689,4287
3336,9019,234,3236,10714,9944,7304,1767,664,4313,11415
3337,9562,2195,4011,8048,5301,5864,1092,4110,6137,7949
3338,6460,1631,9973,2078,11652,5694,11613,6398,1977,472
3339,6711,11155,286,10756,5352,3900,8105,63,3381,2960
3340,8438,11295,1069,9849,8584,5020,11743,906,6469,6367
3341,2330,10646,7227,7515,4352,9421,897,1963,6394,2992
3342,9083,7851,9951,4779,12093,608,5748,5479,10798,5992
3245,8911,692,8720,7725,11277,4065,2716,9227,6916,7493
3462,2561,5796,7443,7199,12080,1118,6489,4310,9529,6540
3463,3081,9799,8100,6472,8498,1929,9185,4968,9610,9992
3464,3851,58,5211,8825,8357,1177,10931,1799,7978,9834
3465,5420,1051,8159,5723,8338,5317,11963,466,1152,7262
3466,8160,1286,11564,1367,5491,11806,6661,5368,3764,8570
3467,6700,2551,7941,770,7183,8657,11806,1879,1935,1809
3343,1094,6067,10005,2796,4208,9218,5738,9928,8673,7457
3344,5176,1421,12096,10418,4522,7527,9980,655,8329,10632
3345,471,4269,8907,6245,8577,2610,923,8817,9708,9368
3346,11777,8534,759,11925,5520,6477,2485,1826,11422,3826
3347,9562,7528,10086,7209,11546,1709,335,5511,1836,11567
3348,11731,9864,10218,2436,3387,1076,5168,8225,6854,230
3349,1088,11571,6772,2410,10241,3051,7435,3391,1260,10060
3350,10501,7472,1957,1414,10904,6100,6510,7399,6448,806
3351,8143,9131,1758,2483,4493,10451,9653,5252,9580,6186
3246,588,5267,6256,11047,9572,12048,5301,11369,2607,8719
3352,1774,6579,9648,690,9120,7992,6341,6884,10559,3643
3353,1909,1047,2661,5501,2574,3660,349,4017,8440,3164
3354,5927,684,9605,4128,1637,4155,1996,981,6182,2613
3355,9791,386,1844,2924,7798,79,2472,10091,6024,8765
3356,4763,297,9020,11392,11755,1714,1317,8861,10788,5027
3357,1275,7656,83,11466,9334,8795,378,8124,7629,7961
3358,11242,10769,1658,8664,3686,5701,1853,9014,10545,6663
3359,4651,4266,2151,609,2167,11477,8466,8212,797,420
3247,2264,7137,2697,4005,2819,11326,6830,3255,851,9667
3360,1491,9771,339,529,6516,913,5617,4406,8801,9994
3361,2926,8764,4509,7127,4357,6685,8256,5238,3420,8927
3362,5772,8247,9611,1645,11377,10604,3990,5504,2272,10594
3363,11419,2565,6156,11617,8306,38,4380,9253,2789,10524
3364,2310,2131,11392,8611,3246,9737,7435,7498,10578,12123
3365,11884,774,4952,11668,3205,10020,2154,552,6223,7207
3366,9832,313,4347,11692,9322,6860,10878,8312,6966,8759
3367,6770,4508,10233,2435,5166,3042,8445,901,2951,2653
3368,2728,2625,9824,11254,650,309,10227,8144,727,7391
3248,5569,1320,11536,7335,1881,3001,11243,6571,3027,412
3369,7728,10194,3370,2110,4846,8091,5190,886,4547,5682
3370,2505,9933,7557,516,9043,5763,9151,318,5768,6691
3371,6276,6580,228,8130,1972,848,8538,5137,5802,11337
3372,3591,760,8360,39,5013,5136,8240,11415,861,7070
3373,11179,10162,4284,9726,11873,4444,12066,11284,10488,9682
3374,2407,2349,6264,11691,7000,4597,2480,1805,8704,1295
3375,3469,2139,6716,11168,3225,7746,10950,10886,2395,3592
3376,3210,4895,11652,5675,7394,6606,9413,5864,300,1693
3377,8628,6185,11254,1052,10372,8919,9528,3771,10024,5970
3249,2313,5722,6340,4558,8093,3976,9528,6452,8387,9841
3378,6869,5605,2035,5110,10855,11658,665,8986,11754,9568
3379,7706,9299,6167,7539,8274,7976,5348,10476,2961,6730
3380,1914,1461,522,11803,3315,8534,2691,9671,11522,9915
3381,10026,10189,11156,9980,10924,9381,1402,4364,6722,5538
